,TopicID,TopicName,Keywords
0,1,MacBook Pro rumors,"Apple, product, launch, announcement"
1,2,iPhone photography tips,"iPhone, photography, tips, camera"
2,3,iPhone photography tips,"iOS, update, news, operating system"
3,4,Apple product launches,"App Store, policy, guidelines, developer"
4,5,MacBook Pro rumors,"App Store, policy, guidelines, developer"
5,6,Apple product launches,"iOS, update, news, operating system"
6,7,MacBook Pro rumors,"App Store, policy, guidelines, developer"
7,8,Apple product launches,"iPhone, photography, tips, camera"
8,9,App Store policies,"iPhone, photography, tips, camera"
9,10,iPhone photography tips,"iOS, update, news, operating system"
